[WARNING][2019-07-30 15:44:17,550][log.py:228]Not Found: /favicon.ico
[WARNING][2019-07-30 15:56:40,655][log.py:228]Not Found: /favicon.ico
[WARNING][2019-08-01 09:02:51,407][log.py:228]Not Found: /favicon.ico
[ERROR][2019-08-01 09:03:08,700][views.py:783]123
[ERROR][2019-08-01 09:03:08,953][views.py:783]123
[ERROR][2019-08-01 09:03:09,541][views.py:783]123
[ERROR][2019-08-01 09:03:09,872][views.py:783]123
[ERROR][2019-08-01 09:03:10,282][views.py:783]123
[ERROR][2019-08-01 09:03:10,735][views.py:783]123
[ERROR][2019-08-01 09:03:11,075][views.py:783]123
[ERROR][2019-08-01 09:03:11,415][views.py:783]123
[ERROR][2019-08-01 09:03:12,173][views.py:783]123
[ERROR][2019-08-01 09:03:12,519][views.py:783]123
[ERROR][2019-08-01 09:03:13,887][views.py:783]123
[ERROR][2019-08-01 09:03:14,482][views.py:783]123
[ERROR][2019-08-01 09:03:14,822][views.py:783]123
[ERROR][2019-08-01 09:03:15,213][views.py:783]123
[ERROR][2019-08-01 09:03:15,541][views.py:783]123
[ERROR][2019-08-01 09:03:15,871][views.py:783]123
[ERROR][2019-08-01 09:03:16,196][views.py:783]123
[ERROR][2019-08-01 09:03:16,525][views.py:783]123
[ERROR][2019-08-01 09:03:16,866][views.py:783]123
[ERROR][2019-08-01 09:03:17,186][views.py:783]123
[ERROR][2019-08-01 09:03:22,528][views.py:783]123
[ERROR][2019-08-01 09:03:23,115][views.py:783]123
[ERROR][2019-08-01 09:03:23,436][views.py:783]123
[ERROR][2019-08-01 09:03:23,472][views.py:783]123
[ERROR][2019-08-01 09:03:23,766][views.py:783]123
[ERROR][2019-08-01 09:03:23,804][views.py:783]123
[ERROR][2019-08-01 09:03:24,136][views.py:783]123
[ERROR][2019-08-01 09:03:24,384][views.py:783]123
[ERROR][2019-08-01 09:03:24,465][views.py:783]123
[ERROR][2019-08-01 09:03:24,703][views.py:783]123
[ERROR][2019-08-01 09:03:24,791][views.py:783]123
